id,houseno,houseno_specification,geo_long,geo_lat,address_specification_verbatim,street_id,Adresse_Straße
1,28,,2.307759,48.855798,,1,avenue de La Motte Piquet
2,12,,2.30786,48.86967,,2,avenue des Champs Elysées
3,12,,2.30786,48.86967,,2,avenue des Champs Elysées
4,64,,,,,3,avenue Marbeuf
5,,,2.32294,48.8755,,4,galerie de Cherbourg
6,8,,2.36577,48.8541,,5,impasse Guéménée
7,6 u. 8,,2.33699722,48.87141944,"galerie du Baromètre,,",6,passage de l' Opéra
8,21,,2.33351,48.869,,7,rue d' Antin
9,6,,2.31949,48.8731,,8,rue d'Astorg
10,4,,2.31949,48.8731,,8,rue d'Astorg
11,13,,2.31963,48.8705,,9,rue d' Aguesseau
12,15,,2.31963,48.8705,,9,rue d' Aguesseau
13,8,,2.36086,48.8723,,10,rue d' Albouy
14,14,,2.32995,48.8656,,11,rue d' Alger
15,8,,2.32995,48.8656,,11,rue d' Alger
16,3,,2.32995,48.8656,,11,rue d' Alger
17,5,,2.33863,48.8711,,12,rue d' Amboise
18,5,,2.33863,48.8711,,12,rue d' Amboise
19,5,,2.33863,48.8711,,12,rue d' Amboise
20,1,,2.33863,48.8711,,12,rue d' Amboise
21,8,,2.33863,48.8711,,12,rue d' Amboise
22,39,,2.32703,48.87954,,13,rue d' Amsterdam
23,52,,2.32703,48.87954,,13,rue d' Amsterdam
24,42,,2.32703,48.87954,,13,rue d' Amsterdam
25,21,,2.32703,48.87954,,13,rue d' Amsterdam
26,48,,2.32703,48.87954,,13,rue d' Amsterdam
27,27,,2.32703,48.87954,,13,rue d' Amsterdam
28,27,,2.32703,48.87954,,13,rue d' Amsterdam
29,4,,2.34245,48.8641,,14,rue d' Angiviller
30,15,,2.3743,48.8669,,15,rue d' Angoulême du Temple
31,10,,2.3743,48.8669,,15,rue d' Angoulême du Temple
32,39,,2.3123,48.8732,,16,rue d' Angoulême Saint Honoré
33,35,,2.3123,48.8732,,16,rue d' Angoulême Saint Honoré
34,9,,2.3123,48.8732,,16,rue d' Angoulême Saint Honoré
35,5,,2.3591666666667,48.862777777778,,17,rue d' Anjou au Marais
36,19,,2.3591666666667,48.862777777778,,17,rue d' Anjou au Marais
37,6,,2.3591666666667,48.862777777778,,17,rue d' Anjou au Marais
38,2,,2.3591666666667,48.862777777778,,17,rue d' Anjou au Marais
39,4,,2.3591666666667,48.862777777778,,17,rue d' Anjou au Marais
40,11,,2.32788,48.8319,,18,rue Monthyon
41,22,,2.32213,48.8726,,19,rue d' Anjou Saint Honoré
42,74,,2.32213,48.8726,,19,rue d' Anjou Saint Honoré
43,76,,2.32213,48.8726,,19,rue d' Anjou Saint Honoré
44,8,,2.32213,48.8726,,19,rue d' Anjou Saint Honoré
45,74,,2.32213,48.8726,,19,rue d' Anjou Saint Honoré
46,72,,2.32213,48.8726,"Magazine, rue du Rocher 62,",19,rue d' Anjou Saint Honoré
47,12,,2.33351,48.869,,7,rue d' Antin
48,9,,2.34954,48.8541,,21,rue d' Arcole
49,24,,2.3338611111111,48.865427777778,,22,rue d' Argenteuil
50,27,,,,"à la Villette,,",23,rue Quintaine
51,21,,2.3516,48.8474,,24,rue d' Arras
52,3,,2.3319444444444,48.845277777778,,25,rue d' Assas
53,13,,2.31949,48.8731,,8,rue d'Astorg
54,12,,2.31949,48.8731,,8,rue d'Astorg
55,3,,2.36848,48.8896,"à la Villette,,",26,rue de la Chapelle
56,9,,2.3359,48.8782,,27,rue d' Aumale
57,46,,2.36046,48.8349,,28,rue d' Austerlitz St Marcel
58,108,,2.33452,48.836493,,29,rue d' Enfer
59,36,,2.33452,48.836493,,29,rue d' Enfer
60,9,,2.33452,48.836493,,29,rue d' Enfer
61,23,,2.33452,48.836493,,29,rue d' Enfer
62,30,,2.33452,48.836493,,29,rue d' Enfer
63,39,,2.35066,48.872,,30,rue d' Enghien
64,40,,2.35066,48.872,,30,rue d' Enghien
65,7,,2.35066,48.872,,30,rue d' Enghien
66,7,,2.35066,48.872,,30,rue d' Enghien
67,14,,2.35066,48.872,,30,rue d' Enghien
68,8,,2.35066,48.872,,30,rue d' Enghien
69,26,,2.35066,48.872,,30,rue d' Enghien
70,10,,2.32125,48.8847,"in Batignolles,,",31,rue de l' Eglise
71,1,,2.35066,48.872,,30,rue d' Enghien
72,39,,2.35066,48.872,"[rue de l'] Echiquier, 38,",30,rue d' Enghien
73,29,,2.35066,48.872,,30,rue d' Enghien
74,8,,,,,32,cour des Miracles
75,19,,2.35066,48.872,,30,rue d' Enghien
76,49,,2.35066,48.872,,30,rue d' Enghien
77,37,,2.35066,48.872,"Wohnung,,",30,rue d' Enghien
78,7,,2.35066,48.872,,30,rue d' Enghien
79,24,,2.35066,48.872,,30,rue d' Enghien
80,16,,2.35066,48.872,,30,rue d' Enghien
81,14,,2.35066,48.872,,30,rue d' Enghien
82,4,,2.31129,48.8515,"avenue de Villars, 2,place Vauban, 3",33,rue d' Estrées
83,37,,2.31129,48.8515,,33,rue d' Estrées
84,35,,2.35065,48.8741,,34,rue d' Hauteville
85,3,,2.35065,48.8741,,34,rue d' Hauteville
86,5,,2.35065,48.8741,,34,rue d' Hauteville
87,20,,2.35065,48.8741,,34,rue d' Hauteville
88,20,,2.35065,48.8741,,34,rue d' Hauteville
89,11,,2.35065,48.8741,,34,rue d' Hauteville
90,25,,2.35065,48.8741,,34,rue d' Hauteville
91,85,,2.35065,48.8741,"[rue] Chabrol, 59,Dépôt: boulevard des Italiens, 5",34,rue d' Hauteville
92,49,,2.35065,48.8741,,34,rue d' Hauteville
93,24,,,,"à la Villette,,",23,rue Quintaine
94,10,,2.35065,48.8741,,34,rue d' Hauteville
95,3,,2.35065,48.8741,,34,rue d' Hauteville
96,33,,2.35065,48.8741,,34,rue d' Hauteville
97,9,,2.35065,48.8741,,34,rue d' Hauteville
98,32,,2.35065,48.8741,,34,rue d' Hauteville
99,23,,2.35237,48.841,,35,rue d' Orléans Saint Marcel
100,26,,2.31128,48.8854,"in Batignolles,,",36,rue Cardinet
101,60,,2.37043,48.87852,"à la Villette,,",37,boulevard de la Butte Chaumont
102,30,,2.35066,48.872,,30,rue d' Enghien
103,92,,2.35065,48.8741,,34,rue d' Hauteville
104,17,,2.35875,48.87605556,,40,rue de Strasbourg
105,3,,2.3347222222222,48.854222222222,,41,rue de l' Abbaye
106,12,,2.3347222222222,48.854222222222,,41,rue de l' Abbaye
107,6,,2.3347222222222,48.854222222222,,41,rue de l' Abbaye
108,17,,2.33856,48.8532,,42,rue de l' Ancienne Comédie
109,19,,,,,43,passage d' Isly
110,3,,2.33856,48.8532,,42,rue de l' Ancienne Comédie
111,3,,2.33856,48.8532,,42,rue de l' Ancienne Comédie
112,5,,2.33856,48.8532,,42,rue de l' Ancienne Comédie
113,12,,2.33856,48.8532,,42,rue de l' Ancienne Comédie
114,28,,2.33856,48.8532,,42,rue de l' Ancienne Comédie
115,17,,2.34746,48.8399,,44,rue de l' Arbalète
116,52,,2.34215,48.86,,45,rue de l' Arbre Sec
